TIC,Sector,Plot 1,Plot 2,Teff,Tmag,log(g),CCD,Camera
126891100,1,126891100.jpg,126891100_flares.jpg,3478.0,11.7878,4.91714,1,1
220379795,1,220379795.jpg,220379795_flares.jpg,3460.0,11.8526,4.78184,4,2
156088839,2,156088839.jpg,156088839_flares.jpg,3452.0,11.8017,4.93144,2,2
392012255,1,392012255.jpg,392012255_flares.jpg,3480.0,11.8959,4.68564,2,4
160080398,2,160080398.jpg,160080398_flares.jpg,3476.0,11.9516,4.8427,4,2
126603751,1,126603751.jpg,126603751_flares.jpg,3474.0,11.8704,4.74254,1,1
197734134,1,197734134.jpg,197734134_flares.jpg,3485.0,11.5592,4.73275,2,1
53975802,1,53975802.jpg,53975802_flares.jpg,3466.0,11.9634,4.77324,3,1
49785549,2,49785549.jpg,49785549_flares.jpg,3485.0,11.9064,4.81698,3,1
101992165,2,101992165.jpg,101992165_flares.jpg,3470.0,11.6655,4.82646,2,2
31781652,1,31781652.jpg,31781652_flares.jpg,3495.0,11.602,4.78089,4,3
300710077,1,300710077.jpg,300710077_flares.jpg,3461.0,11.9802,4.85358,3,4
9053492,2,9053492.jpg,9053492_flares.jpg,3487.0,11.7452,4.82463,3,1
167721744,1,167721744.jpg,167721744_flares.jpg,3455.0,11.754,4.87803,3,4
